REGION,TIMESLICE,FUEL,YEAR,VALUE
"W","S10","ELC",2038,7.06172765174
"W","S10","ELC",2039,7.14893520068
"W","S10","ELC",2040,7.2339547466
"W","S10","ELC",2041,7.32557889528746
"W","S10","ELC",2042,7.41021650652601
"W","S10","ELC",2043,7.49485411880646
"W","S10","ELC",2044,7.57949173004501
"W","S10","ELC",2045,7.66412934232546
"W","S10","ELC",2046,7.74876695356401
"W","S10","ELC",2047,7.83340456584446
"W","S10","ELC",2048,7.91804217708301
"W","S10","ELC",2049,8.00267978936346
"W","S10","ELC",2050,8.08731740060201
"W","S11","ELC",2019,5.55699285602
"W","S11","ELC",2020,5.62067123514
"W","S11","ELC",2021,5.68434961426
"W","S11","ELC",2022,5.7542482324
"W","S11","ELC",2023,5.84375641762
"W","S11","ELC",2024,5.925041236
"W","S11","ELC",2025,6.02804417706
"W","S11","ELC",2026,6.15624435754
"W","S11","ELC",2027,6.23953230374
"W","S11","ELC",2028,6.3093254941
"W","S11","ELC",2029,6.37954039558
"W","S11","ELC",2030,6.47421454202
"W","S11","ELC",2031,6.57943146646
"W","S11","ELC",2032,6.67336761844
"W","S11","ELC",2033,6.74811591446
"W","S11","ELC",2034,6.81200514914
"W","S11","ELC",2035,6.8933953953
"W","S11","ELC",2036,6.9745747859
"W","S11","ELC",2037,7.05670302652
"W","S11","ELC",2038,7.14557864506
"W","S11","ELC",2039,7.23382169692
"W","S11","ELC",2040,7.3198507654
"W","S11","ELC",2041,7.41256285973737
"W","S11","ELC",2042,7.49820545844139
"W","S11","ELC",2043,7.58384805819968
"W","S11","ELC",2044,7.66949065690371
"W","S11","ELC",2045,7.755133256662
"W","S11","ELC",2046,7.84077585536602
"W","S11","ELC",2047,7.92641845512432
"W","S11","ELC",2048,8.01206105382834
"W","S11","ELC",2049,8.09770365358664
"W","S11","ELC",2050,8.18334625229066
"W","S12","ELC",2019,5.59684349547
"W","S12","ELC",2020,5.66097852879
"W","S12","ELC",2021,5.72511356211
"W","S12","ELC",2022,5.7955134414
"W","S12","ELC",2023,5.88566351307
"W","S12","ELC",2024,5.967531246
"W","S12","ELC",2025,6.07127284791
"W","S12","ELC",2026,6.20039238519
"W","S12","ELC",2027,6.28427761089
"W","S12","ELC",2028,6.35457130635
"W","S12","ELC",2029,6.42528973713
"W","S12","ELC",2030,6.52064281647
"W","S12","ELC",2031,6.62661427881
"W","S12","ELC",2032,6.72122407134
"W","S12","ELC",2033,6.79650840681
"W","S12","ELC",2034,6.86085580779
"W","S12","ELC",2035,6.94282972455
"W","S12","ELC",2036,7.02459127365
"W","S12","ELC",2037,7.10730847722
"W","S12","ELC",2038,7.19682144591
"W","S12","ELC",2039,7.28569731162
"W","S12","ELC",2040,7.3723433169
"W","S12","ELC",2041,7.46572027375201
"W","S12","ELC",2042,7.55197703778086
"W","S12","ELC",2043,7.63823380287155
"W","S12","ELC",2044,7.72449056690041
"W","S12","ELC",2045,7.8107473319911
"W","S12","ELC",2046,7.89700409601995
"W","S12","ELC",2047,7.98326086111065
"W","S12","ELC",2048,8.0695176251395
"W","S12","ELC",2049,8.15577439023019
"W","S12","ELC",2050,8.24203115425905
"W","S13","ELC",2019,5.61561580582
"W","S13","ELC",2020,5.67996595374
"W","S13","ELC",2021,5.74431610166
"W","S13","ELC",2022,5.8149521084
"W","S13","ELC",2023,5.90540455142
"W","S13","ELC",2024,5.987546876
"W","S13","ELC",2025,6.09163643646
"W","S13","ELC",2026,6.22118905214
"W","S13","ELC",2027,6.30535563634
"W","S13","ELC",2028,6.3758851031
"W","S13","ELC",2029,6.44684072978
"W","S13","ELC",2030,6.54251363182
"W","S13","ELC",2031,6.64884053186
"W","S13","ELC",2032,6.74376765404
"W","S13","ELC",2033,6.81930449986
"W","S13","ELC",2034,6.88386772774
"W","S13","ELC",2035,6.9661165923
"W","S13","ELC",2036,7.0481523769
"W","S13","ELC",2037,7.13114702132
"W","S13","ELC",2038,7.22096022446
"W","S13","ELC",2039,7.31013418772
"W","S13","ELC",2040,7.3970708114
"W","S13","ELC",2041,7.49076096286161
"W","S13","ELC",2042,7.57730703974072
"W","S13","ELC",2043,7.66385311768524
"W","S13","ELC",2044,7.75039919456435
"W","S13","ELC",2045,7.83694527250887
"W","S13","ELC",2046,7.92349134938798
"W","S13","ELC",2047,8.01003742733249
"W","S13","ELC",2048,8.09658350421161
"W","S13","ELC",2049,8.18312958215612
"W","S13","ELC",2050,8.26967565903524
"W","S14","ELC",2019,5.61726296207
"W","S14","ELC",2020,5.68163198499
"W","S14","ELC",2021,5.74600100791
"W","S14","ELC",2022,5.8166577334
"W","S14","ELC",2023,5.90713670767
"W","S14","ELC",2024,5.989303126
"W","S14","ELC",2025,6.09342321771
"W","S14","ELC",2026,6.22301383339
"W","S14","ELC",2027,6.30720510509
"W","S14","ELC",2028,6.37775525935
"W","S14","ELC",2029,6.44873169853
"W","S14","ELC",2030,6.54443266307
"W","S14","ELC",2031,6.65079075061
"W","S14","ELC",2032,6.74574571654
"W","S14","ELC",2033,6.82130471861
"W","S14","ELC",2034,6.88588688399
"W","S14","ELC",2035,6.96815987355
"W","S14","ELC",2036,7.05021972065
"W","S14","ELC",2037,7.13323870882
"W","S14","ELC",2038,7.22307825571
"W","S14","ELC",2039,7.31227837522
"W","S14","ELC",2040,7.3992404989
"W","S14","ELC",2041,7.49295813128692
"W","S14","ELC",2042,7.57952959361197
"W","S14","ELC",2043,7.66610105700274
"W","S14","ELC",2044,7.75267251932779
"W","S14","ELC",2045,7.83924398271855
"W","S14","ELC",2046,7.92581544504361
"W","S14","ELC",2047,8.01238690843437
"W","S14","ELC",2048,8.09895837075942
"W","S14","ELC",2049,8.18552983415019
"W","S14","ELC",2050,8.27210129647524
"W","S15","ELC",2019,5.58959811633
"W","S15","ELC",2020,5.65365012381
"W","S15","ELC",2021,5.71770213129
"W","S15","ELC",2022,5.7880108746
"W","S15","ELC",2023,5.87804424273
"W","S15","ELC",2024,5.959805994
"W","S15","ELC",2025,6.06341329749
"W","S15","ELC",2026,6.19236568341
"W","S15","ELC",2027,6.27614231571
"W","S15","ELC",2028,6.34634501265
"W","S15","ELC",2029,6.41697189507
"W","S15","ELC",2030,6.51220153533
"W","S15","ELC",2031,6.61803581259
"W","S15","ELC",2032,6.71252312826
"W","S15","ELC",2033,6.78771000459
"W","S15","ELC",2034,6.85197410481
"W","S15","ELC",2035,6.93384190245
"W","S15","ELC",2036,7.01549760735
"W","S15","ELC",2037,7.09810772958
"W","S15","ELC",2038,7.18750481949
"W","S15","ELC",2039,7.27626563118
"W","S15","ELC",2040,7.3627994691
"W","S15","ELC",2041,7.45605554505622
"W","S15","ELC",2042,7.54220064561632
"W","S15","ELC",2043,7.62834574723688
"W","S15","ELC",2044,7.71449084779698
"W","S15","ELC",2045,7.80063594941754
"W","S15","ELC",2046,7.88678104997764
"W","S15","ELC",2047,7.97292615159821
"W","S15","ELC",2048,8.05907125215831
"W","S15","ELC",2049,8.14521635377887
"W","S15","ELC",2050,8.23136145433897
"W","S16","ELC",2019,5.55929834768
"W","S16","ELC",2020,5.62300314576
"W","S16","ELC",2021,5.68670794384
"W","S16","ELC",2022,5.7566355616
"W","S16","ELC",2023,5.84618088208
"W","S16","ELC",2024,5.927499424
"W","S16","ELC",2025,6.03054509904
"W","S16","ELC",2026,6.15879846736
"W","S16","ELC",2027,6.24212096816
"W","S16","ELC",2028,6.3119431144
"W","S16","ELC",2029,6.38218714672
