REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"W","S2","MIN_HYD",1,2032,518.838016792297
"W","S2","MIN_HYD",1,2033,520.06709449261
"W","S2","MIN_HYD",1,2034,312.73007361535
"W","S2","MIN_HYD",1,2035,340.582243565268
"W","S2","MIN_HYD",1,2036,489.266842611473
"W","S2","MIN_HYD",1,2037,514.17898746209
"W","S2","MIN_HYD",1,2038,476.498348567552
"W","S2","MIN_HYD",1,2039,520.41028284276
"W","S2","MIN_HYD",1,2040,255.716965378192
"W","S2","MIN_HYD",1,2041,368.95560747253
"W","S2","MIN_HYD",1,2042,526.201928051863
"W","S2","MIN_HYD",1,2043,494.956179207725
"W","S2","MIN_HYD",1,2044,558.963742464
"W","S2","MIN_HYD",1,2045,557.769002105447
"W","S2","MIN_HYD",1,2046,352.863071377638
"W","S2","MIN_HYD",1,2047,557.217610572705
"W","S2","MIN_HYD",1,2048,444.827584051447
"W","S2","MIN_HYD",1,2049,556.559752402518
"W","S2","MIN_HYD",1,2050,558.963742464
"W","S2","MIN_WN",1,2019,28.3071193108308
"W","S2","MIN_WN",1,2020,26.8917690361818
"W","S2","MIN_WN",1,2021,25.5471755258016
"W","S2","MIN_WN",1,2022,24.2698104262975
"W","S2","MIN_WN",1,2023,23.0563224342683
"W","S2","MIN_WN",1,2024,21.9035120034474
"W","S2","MIN_WN",1,2025,28.2168151243194
"W","S2","MIN_WN",1,2026,19.7679223653254
"W","S2","MIN_WN",1,2027,18.7795154975954
"W","S2","MIN_WN",1,2028,17.840543516644
"W","S2","MIN_WN",1,2029,16.948515076169
"W","S2","MIN_WN",1,2030,21.8336342721219
"W","S2","MIN_WN",1,2031,15.2960316314034
"W","S2","MIN_WN",1,2032,14.5312389023328
"W","S2","MIN_WN",1,2033,13.8046763248948
"W","S2","MIN_WN",1,2034,13.1144342884719
"W","S2","MIN_WN",1,2035,16.8944500383065
"W","S2","MIN_WN",1,2036,11.835779253319
"W","S2","MIN_WN",1,2037,11.2439896583316
"W","S2","MIN_WN",1,2038,10.6817927047006
"W","S2","MIN_WN",1,2039,10.1477087603582
"W","S2","MIN_WN",1,2040,9.64032142537607
"W","S2","MIN_WN",1,2041,9.15830282482168
"W","S2","MIN_WN",1,2042,8.70038831590199
"W","S2","MIN_WN",1,2043,8.26536384153572
"W","S2","MIN_WN",1,2044,7.85210386963709
"W","S2","MIN_WN",1,2045,7.45949551454825
"W","S2","MIN_WN",1,2046,9.60955800965257
"W","S2","MIN_WN",1,2047,6.73219944429027
"W","S2","MIN_WN",1,2048,6.39558947207576
"W","S2","MIN_WN",1,2049,6.07579924900823
"W","S2","MIN_WN",1,2050,5.77201940370016
"W","S2","MIN_GS",1,2019,122.21770387132
"W","S2","MIN_GS",1,2020,116.650248329893
"W","S2","MIN_GS",1,2021,1625.93302367536
"W","S2","MIN_GS",1,2022,1611.98913274554
"W","S2","MIN_GS",1,2023,1598.27310749448
"W","S2","MIN_GS",1,2024,1584.77514770997
"W","S2","MIN_GS",1,2025,1571.48561232224
"W","S2","MIN_GS",1,2026,1558.39528283742
"W","S2","MIN_GS",1,2027,1545.49509421195
"W","S2","MIN_GS",1,2028,1547.10384105984
"W","S2","MIN_GS",1,2029,1543.19221314978
"W","S2","MIN_GS",1,2030,1545.72053158937
"W","S2","MIN_GS",1,2031,1643.76075631862
"W","S2","MIN_GS",1,2032,1731.75905079967
"W","S2","MIN_GS",1,2033,1803.03635037314
"W","S2","MIN_GS",1,2034,1800.45163261334
"W","S2","MIN_GS",1,2035,1797.97020053582
"W","S2","MIN_GS",1,2036,1795.5879330161
"W","S2","MIN_GS",1,2037,1793.30096649998
"W","S2","MIN_GS",1,2038,1791.10569500354
"W","S2","MIN_GS",1,2039,1914.27324674321
"W","S2","MIN_GS",1,2040,1940.07498099002
