PROVINCE,MONTH,DAY,HOUR,VALUE
BC,1,13,22,8133.0
BC,1,13,23,7695.0
BC,1,13,24,7237.0
BC,1,14,1,6961.0
BC,1,14,2,6879.0
BC,1,14,3,6835.0
BC,1,14,4,6893.0
BC,1,14,5,7071.0
BC,1,14,6,7532.0
BC,1,14,7,8261.0
BC,1,14,8,9175.0
BC,1,14,9,9283.0
BC,1,14,10,9199.0
BC,1,14,11,9041.0
BC,1,14,12,8937.0
BC,1,14,13,8749.0
BC,1,14,14,8619.0
BC,1,14,15,8555.0
BC,1,14,16,8574.0
BC,1,14,17,9061.0
BC,1,14,18,9617.0
BC,1,14,19,9552.0
BC,1,14,20,9370.0
BC,1,14,21,9104.0
BC,1,14,22,8701.0
BC,1,14,23,8128.0
BC,1,14,24,7614.0
BC,1,15,1,7335.0
BC,1,15,2,7168.0
BC,1,15,3,7093.0
BC,1,15,4,7136.0
BC,1,15,5,7345.0
BC,1,15,6,7877.0
BC,1,15,7,8616.0
BC,1,15,8,9463.0
BC,1,15,9,9566.0
BC,1,15,10,9486.0
BC,1,15,11,9360.0
BC,1,15,12,9164.0
BC,1,15,13,9008.0
BC,1,15,14,8845.0
BC,1,15,15,8797.0
BC,1,15,16,8876.0
BC,1,15,17,9235.0
BC,1,15,18,9730.0
BC,1,15,19,9730.0
BC,1,15,20,9542.0
BC,1,15,21,9273.0
BC,1,15,22,8885.0
BC,1,15,23,8346.0
BC,1,15,24,7812.0
BC,1,16,1,7500.0
BC,1,16,2,7341.0
BC,1,16,3,7272.0
BC,1,16,4,7284.0
BC,1,16,5,7394.0
BC,1,16,6,7830.0
BC,1,16,7,8556.0
BC,1,16,8,9423.0
BC,1,16,9,9480.0
BC,1,16,10,9315.0
BC,1,16,11,9171.0
BC,1,16,12,9067.0
BC,1,16,13,8907.0
BC,1,16,14,8762.0
BC,1,16,15,8655.0
BC,1,16,16,8739.0
BC,1,16,17,9138.0
BC,1,16,18,9643.0
BC,1,16,19,9566.0
BC,1,16,20,9398.0
BC,1,16,21,9145.0
BC,1,16,22,8779.0
BC,1,16,23,8291.0
BC,1,16,24,7695.0
BC,1,17,1,7311.0
BC,1,17,2,7148.0
BC,1,17,3,7086.0
BC,1,17,4,7082.0
BC,1,17,5,7212.0
BC,1,17,6,7636.0
BC,1,17,7,8341.0
BC,1,17,8,9133.0
BC,1,17,9,9281.0
BC,1,17,10,9188.0
BC,1,17,11,9104.0
BC,1,17,12,9000.0
BC,1,17,13,8930.0
BC,1,17,14,8835.0
BC,1,17,15,8795.0
BC,1,17,16,8871.0
BC,1,17,17,9172.0
BC,1,17,18,9550.0
BC,1,17,19,9369.0
BC,1,17,20,9172.0
BC,1,17,21,8958.0
BC,1,17,22,8612.0
BC,1,17,23,8108.0
BC,1,17,24,7547.0
BC,1,18,1,7244.0
BC,1,18,2,6997.0
BC,1,18,3,6925.0
BC,1,18,4,6921.0
BC,1,18,5,7039.0
BC,1,18,6,7398.0
BC,1,18,7,8059.0
BC,1,18,8,8773.0
BC,1,18,9,8887.0
BC,1,18,10,8875.0
BC,1,18,11,8831.0
BC,1,18,12,8731.0
