REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
W,NGCT,NG_F,1,2028,9.187142857
W,NGCT,NG_F,1,2029,9.131071429
W,NGCT,NG_F,1,2030,9.075
W,NGCT,NG_F,1,2031,9.075
W,NGCT,NG_F,1,2032,9.075
W,NGCT,NG_F,1,2033,9.075
W,NGCT,NG_F,1,2034,9.075
W,NGCT,NG_F,1,2035,9.075
W,NGCT,NG_F,1,2036,9.075
W,NGCT,NG_F,1,2037,9.075
W,NGCT,NG_F,1,2038,9.075
W,NGCT,NG_F,1,2039,9.075
W,NGCT,NG_F,1,2040,9.075
W,NGCT,NG_F,1,2041,9.075
W,NGCT,NG_F,1,2042,9.075
W,NGCT,NG_F,1,2043,9.075
W,NGCT,NG_F,1,2044,9.075
W,NGCT,NG_F,1,2045,9.075
W,NGCT,NG_F,1,2046,9.075
W,NGCT,NG_F,1,2047,9.075
W,NGCT,NG_F,1,2048,9.075
W,NGCT,NG_F,1,2049,9.075
W,NGCT,NG_F,1,2050,9.075
W,NGCC,NG_F,1,2019,9.691785714
W,NGCC,NG_F,1,2020,9.635714286
W,NGCC,NG_F,1,2021,9.579642857
W,NGCC,NG_F,1,2022,9.523571429
W,NGCC,NG_F,1,2023,9.4675
W,NGCC,NG_F,1,2024,9.411428571
W,NGCC,NG_F,1,2025,9.355357143
W,NGCC,NG_F,1,2026,9.299285714
W,NGCC,NG_F,1,2027,9.243214286
W,NGCC,NG_F,1,2028,9.187142857
W,NGCC,NG_F,1,2029,9.131071429
W,NGCC,NG_F,1,2030,9.075
W,NGCC,NG_F,1,2031,9.075
W,NGCC,NG_F,1,2032,9.075
W,NGCC,NG_F,1,2033,9.075
W,NGCC,NG_F,1,2034,9.075
W,NGCC,NG_F,1,2035,9.075
W,NGCC,NG_F,1,2036,9.075
W,NGCC,NG_F,1,2037,9.075
W,NGCC,NG_F,1,2038,9.075
W,NGCC,NG_F,1,2039,9.075
W,NGCC,NG_F,1,2040,9.075
W,NGCC,NG_F,1,2041,9.075
W,NGCC,NG_F,1,2042,9.075
W,NGCC,NG_F,1,2043,9.075
W,NGCC,NG_F,1,2044,9.075
W,NGCC,NG_F,1,2045,9.075
W,NGCC,NG_F,1,2046,9.075
W,NGCC,NG_F,1,2047,9.075
W,NGCC,NG_F,1,2048,9.075
W,NGCC,NG_F,1,2049,9.075
W,NGCC,NG_F,1,2050,9.075
MW,HYD,Hydro_F,1,2019,1.0
MW,HYD,Hydro_F,1,2020,1.0
MW,HYD,Hydro_F,1,2021,1.0
MW,HYD,Hydro_F,1,2022,1.0
MW,HYD,Hydro_F,1,2023,1.0
MW,HYD,Hydro_F,1,2024,1.0
MW,HYD,Hydro_F,1,2025,1.0
MW,HYD,Hydro_F,1,2026,1.0
MW,HYD,Hydro_F,1,2027,1.0
MW,HYD,Hydro_F,1,2028,1.0
MW,HYD,Hydro_F,1,2029,1.0
MW,HYD,Hydro_F,1,2030,1.0
MW,HYD,Hydro_F,1,2031,1.0
MW,HYD,Hydro_F,1,2032,1.0
MW,HYD,Hydro_F,1,2033,1.0
MW,HYD,Hydro_F,1,2034,1.0
MW,HYD,Hydro_F,1,2035,1.0
MW,HYD,Hydro_F,1,2036,1.0
MW,HYD,Hydro_F,1,2037,1.0
MW,HYD,Hydro_F,1,2038,1.0
MW,HYD,Hydro_F,1,2039,1.0
MW,HYD,Hydro_F,1,2040,1.0
MW,HYD,Hydro_F,1,2041,1.0
MW,HYD,Hydro_F,1,2042,1.0
MW,HYD,Hydro_F,1,2043,1.0
MW,HYD,Hydro_F,1,2044,1.0
MW,HYD,Hydro_F,1,2045,1.0
MW,HYD,Hydro_F,1,2046,1.0
MW,HYD,Hydro_F,1,2047,1.0
MW,HYD,Hydro_F,1,2048,1.0
MW,HYD,Hydro_F,1,2049,1.0
MW,HYD,Hydro_F,1,2050,1.0
MW,WN,Wind_F,1,2019,1.0
MW,WN,Wind_F,1,2020,1.0
MW,WN,Wind_F,1,2021,1.0
MW,WN,Wind_F,1,2022,1.0
MW,WN,Wind_F,1,2023,1.0
MW,WN,Wind_F,1,2024,1.0
MW,WN,Wind_F,1,2025,1.0
MW,WN,Wind_F,1,2026,1.0
MW,WN,Wind_F,1,2027,1.0
MW,WN,Wind_F,1,2028,1.0
MW,WN,Wind_F,1,2029,1.0
MW,WN,Wind_F,1,2030,1.0
MW,WN,Wind_F,1,2031,1.0
MW,WN,Wind_F,1,2032,1.0
MW,WN,Wind_F,1,2033,1.0
MW,WN,Wind_F,1,2034,1.0
MW,WN,Wind_F,1,2035,1.0
MW,WN,Wind_F,1,2036,1.0
MW,WN,Wind_F,1,2037,1.0
MW,WN,Wind_F,1,2038,1.0
MW,WN,Wind_F,1,2039,1.0
MW,WN,Wind_F,1,2040,1.0
MW,WN,Wind_F,1,2041,1.0
MW,WN,Wind_F,1,2042,1.0
MW,WN,Wind_F,1,2043,1.0
MW,WN,Wind_F,1,2044,1.0
MW,WN,Wind_F,1,2045,1.0
MW,WN,Wind_F,1,2046,1.0
MW,WN,Wind_F,1,2047,1.0
MW,WN,Wind_F,1,2048,1.0
MW,WN,Wind_F,1,2049,1.0
MW,WN,Wind_F,1,2050,1.0
MW,BIO,Bio_F,1,2019,13.5
MW,BIO,Bio_F,1,2020,13.5
MW,BIO,Bio_F,1,2021,13.5
MW,BIO,Bio_F,1,2022,13.5
MW,BIO,Bio_F,1,2023,13.5
MW,BIO,Bio_F,1,2024,13.5
MW,BIO,Bio_F,1,2025,13.5
MW,BIO,Bio_F,1,2026,13.5
MW,BIO,Bio_F,1,2027,13.5
MW,BIO,Bio_F,1,2028,13.5
